Speaker,Repetition,Order,Word,oaf_20,oap_20,naf_20,oaf_50,oap_50,naf_50,oaf_80,oap_80,naf_80
Ben,5,5,boing,0.09550335,0.16530514,0.00250244,0.1287816,0.16366587,0.02313738,0.09414673,0.16195228,0.05307007
Ben,5,6,Bert,0.12696388,0.15792045,0.01258262,0.11496033,0.15652452,0.00723215,0.12066971,0.15589762,0.00247192
Ben,5,7,bat,0.03186271,0.1588402,-0.0062235,0.09542097,0.15719619,0.01107803,0.16319149,0.15646578,0.01980591
Ben,5,8,Bart,0.09109607,0.159131,0.01446533,0.17663446,0.1566694,0.01641846,0.143607,0.15553431,0.01504214
Ben,5,9,Ben,0.08432934,0.13380467,-0.0295538,0.1057359,0.13263335,0.04280989,0.15104149,0.13295828,0.0741272
Ben,5,10,bomb,0.07758686,0.15278455,-0.0285047,0.05903245,0.15195585,0.05205896,0.12103127,0.15213293,0.06267713
Ben,5,11,born,0.14134819,0.1504229,-0.001952,0.13566776,0.14932034,0.05890588,0.11307962,0.14895785,0.06680298
Ben,5,12,bot,0.07360128,0.14781768,-0.0026529,0.10067754,0.14676263,-0.0069275,0.10604276,0.14648198,0.01831782
Ben,5,13,bind,0.11891992,0.15295166,-0.0079993,0.10070618,0.15120863,0.04549974,0.10983276,0.15002374,0.04498118
Ben,5,14,bean,0.07047102,0.1575334,0.02620947,0.0592041,0.15631294,0.06491075,0.07989793,0.15599606,0.07046509
Ben,5,15,boon,0.11639616,0.15777944,0.00704956,0.07565308,0.15677256,0.01744404,0.07655297,0.15681495,0.04841749
Ben,5,16,but,0.10647532,0.15676891,0.0031439,0.12603809,0.15446536,-0.0084575,0.10259183,0.15465196,0.01229763
Ben,5,17,barn,0.12132995,0.16041489,0.01273877,0.10710637,0.15888831,0.05404779,0.08752102,0.15868768,0.04403569
Ben,5,18,bort,0.11639995,0.16188959,0.02267456,0.14877684,0.16057503,0.0127571,0.09675449,0.1602046,0.01065063
Ben,5,19,bit,0.11465454,0.16291297,0.01022339,0.11819458,0.16170005,0.00924522,0.10333199,0.16085712,0.00558472
Ben,5,20,bait,0.10308939,0.16747379,-0.0097074,0.12490699,0.16586283,-0.0002802,0.09037895,0.16490155,0.01455688
Ben,5,21,bite,0.15126087,-0.079136,0.00793457,0.11575628,-0.0734108,0.00180253,0.05745383,-0.0678625,0.00483888
Ben,5,22,bout,0.07640331,0.03538089,-0.0063766,0.15364027,0.03715639,0.01932572,0.12195078,0.03936768,0.03503418
Ben,5,23,ban,0.07348633,0.08259438,0.02009531,0.09469491,0.08291593,0.05917358,0.12509165,0.08401509,0.05975352
Ben,5,24,bought,0.10226373,0.11166874,0.00818609,0.13536974,0.11160592,0.00155122,0.13840186,0.11233246,0.02221447
Ben,5,25,boit,0.1131286,0.12921133,0.02282715,0.14641037,0.12942836,0.01412919,0.09204824,0.12927643,0.00964374
Ben,5,26,bone,0.09484917,0.15164178,0.01277134,0.08282471,0.15116843,0.06115079,0.0639031,0.15084835,0.11618075
Ben,5,27,bun,0.08069862,0.1586635,0.01503661,0.09841863,0.15722198,0.05169678,0.09248127,0.15648405,0.05486902
Ben,5,28,boat,0.08559918,0.16384505,0.02035622,0.09487915,0.16244959,0.01723076,0.11279297,0.16186585,0.01507568
Ben,5,29,bane,0.0573438,0.16687394,0.01692011,0.07696591,0.16608044,0.05188046,0.09786853,0.16555827,0.06951904
Ben,5,30,bound,0.09397906,0.16720973,0.02372388,0.10656519,0.16541042,0.06991577,0.09285485,0.16509249,0.04849243
Ben,5,31,boot,0.12444175,0.17941393,0.02005005,0.10262938,0.17855978,0.01412964,0.10699354,0.17850114,0.01452828
Aurora,1,1,boot,0.0161025,0.02935689,-0.0030615,0.03247874,0.02452028,-0.0044861,0.05197266,0.02227661,-0.0064697
Aurora,1,2,birm,0.02993774,0.03076563,0.01815932,0.01674974,0.0268859,0.02071748,0.00970329,0.02477783,0.00628662
Aurora,1,3,bait,0.02749634,0.03549236,-0.0047908,0.04288011,0.03179957,-0.004425,0.04501343,0.02944778,-0.0016479
Aurora,1,4,bite,0.01492615,0.04183987,-0.0059204,0.03552169,0.03729533,-0.0125405,0.03027256,0.03532666,-0.0068466
Aurora,1,5,beat,0.01364005,0.03949608,-0.0001504,0.02749961,0.03640419,-0.001709,0.0462317,0.03448338,-0.0016174
Aurora,1,6,bought,0.02377319,0.03292815,-0.0001526,0.04421107,0.01690367,-0.0025635,0.06403835,0.00859989,-0.0041934
Aurora,1,7,Bert,0.05938721,0.03277685,-0.0014648,0.05374136,0.02529918,-0.0023193,0.08950598,0.02160871,-0.0021056
Aurora,1,8,bout,0.01724188,0.03647403,-0.0072341,0.06410239,0.02799479,-0.0068686,0.07204915,0.02297724,0.00799561
Aurora,1,9,bin,0.04577846,0.04757271,0.00353433,0.04583751,0.03976385,0.02505493,0.04530679,0.03513604,0.0269165
Aurora,1,10,bound,0.04598999,0.0384441,-0.005799,0.03756673,0.02966266,0.04641725,0.04443359,0.02417549,0.0271281
Aurora,1,11,boon,0.0798905,0.0331111,-0.0037582,0.02545166,0.02422647,0.01730347,0.0459769,0.0200091,0.01715088
Aurora,1,12,boing,0.02679443,0.02533581,-0.0048813,0.04030023,0.01954474,0.01393525,0.02344185,0.01780348,0.00457764
Aurora,1,13,but,0.0500223,0.03753344,-0.0032364,0.08987533,0.03256297,-0.0044556,0.14834023,0.03057928,-0.0042419
Aurora,1,14,born,0.05537147,0.04089355,-0.0106201,0.07815654,0.03494099,0.04116869,0.07886752,0.03449271,0.04693604
Aurora,1,15,bort,0.05239643,0.04214351,-0.0016174,0.10256814,0.03695584,-0.0027466,0.17482419,0.0348228,-0.0004883
Aurora,1,16,bun,0.07678128,0.03899756,0.00422165,0.07382203,0.03243917,0.02819773,0.07658618,0.02930225,0.0346084
